,x0,x1,y1,x3,y3,x4,y4
0,0.0,0.0,1,0.0,245,0.0,456
1,0.0,0.0,1,0.0,283,0.0,532
2,0.0,0.0,1,0.0,268,0.0,503
3,0.0,0.0,1,0.0,261,0.0,489
4,0.0,0.0,1,0.0,318,0.0,604
5,0.0,0.0,1,0.0,239,0.0,442
6,0.0,0.0,1,0.0,279,0.0,522
7,2.0,0.0,1,0.0,267,0.0,501
8,0.0,0.0,1,0.0,271,0.0,508
9,2.0,0.0,16,2.0,277,0.0,521
10,2.0,0.0,4,2.0,286,0.0,543
11,2.0,0.0,1,0.0,276,0.0,519
12,0.0,0.0,1,0.0,282,0.0,530
13,0.0,0.0,1,0.0,287,0.0,541
14,2.0,0.0,1,0.0,268,0.0,503
15,0.0,0.0,1,0.0,231,0.0,426
16,0.0,0.0,2,2.0,253,0.0,481
17,2.0,0.0,1,0.0,262,0.0,490
18,0.0,0.0,1,0.0,286,0.0,540
19,0.0,0.0,1,0.0,262,0.0,490
20,0.0,0.0,1,0.0,267,0.0,501
21,2.0,0.0,1,0.0,253,0.0,471
22,0.0,0.0,1,0.0,268,0.0,502
23,0.0,0.0,2,2.0,277,0.0,520
24,0.0,0.0,1,0.0,288,0.0,542
25,0.0,0.0,1,0.0,214,0.0,393
26,2.0,0.0,1,0.0,195,0.0,354
27,0.0,0.0,1,0.0,252,0.0,471
28,0.0,0.0,2,2.0,265,0.0,501
29,0.0,0.0,1,0.0,233,0.0,430
30,0.0,0.0,3,2.0,268,0.0,496
31,0.0,0.0,1,0.0,287,0.0,541
32,0.0,0.0,1,0.0,234,0.0,432
33,2.0,0.0,1,0.0,266,0.0,498
34,0.0,0.0,1,0.0,266,0.0,498
35,0.0,0.0,1,0.0,265,0.0,496
36,0.0,0.0,1,0.0,281,0.0,530
37,0.0,0.0,1,0.0,263,0.0,492
38,0.0,0.0,5,2.0,233,0.0,437
39,0.0,0.0,1,0.0,239,0.0,443
40,0.0,0.0,1,0.0,256,0.0,478
41,0.0,0.0,1,0.0,277,0.0,519
42,0.0,0.0,1,0.0,276,0.0,517
43,0.0,0.0,1,0.0,252,0.0,470
44,0.0,0.0,1,0.0,261,0.0,489
45,0.0,0.0,3,2.0,278,0.0,529
46,2.0,0.0,1,0.0,232,0.0,429
47,0.0,0.0,1,0.0,262,0.0,490
48,0.0,0.0,1,0.0,249,0.0,463
49,0.0,0.0,1,0.0,246,0.0,458
50,0.0,0.0,1,0.0,273,0.0,510
51,2.0,0.0,1,0.0,256,0.0,476
52,0.0,0.0,1,0.0,257,0.0,481
53,0.0,0.0,1,0.0,252,0.0,470
54,0.0,0.0,1,0.0,280,0.0,527
55,0.0,0.0,4,2.0,277,0.0,515
56,0.0,0.0,1,0.0,283,0.0,533
57,0.0,0.0,1,0.0,239,0.0,446
58,0.0,0.0,1,0.0,252,0.0,470
59,0.0,0.0,1,0.0,233,0.0,432
60,2.0,0.0,1,0.0,268,0.0,503
61,2.8284271247461903,0.0,1,0.0,282,0.0,529
62,0.0,0.0,1,0.0,291,0.0,548
63,2.0,0.0,1,0.0,259,0.0,485
64,0.0,0.0,1,0.0,269,0.0,505
65,0.0,0.0,1,0.0,243,0.0,452
66,0.0,0.0,1,0.0,257,0.0,480
67,0.0,0.0,1,0.0,261,0.0,487
68,0.0,0.0,3,2.0,287,0.0,539
69,0.0,0.0,1,0.0,257,0.0,481
70,2.0,0.0,1,0.0,234,0.0,433
71,0.0,0.0,1,0.0,293,0.0,552
72,0.0,0.0,1,0.0,251,0.0,470
73,0.0,0.0,1,0.0,225,0.0,416
74,0.0,0.0,1,0.0,301,0.0,568
75,0.0,0.0,1,0.0,276,0.0,520
76,0.0,0.0,1,0.0,265,0.0,496
77,0.0,0.0,1,0.0,229,0.0,422
78,0.0,0.0,1,0.0,269,0.0,505
79,3.4641016151377544,0.0,1,0.0,262,0.0,491
80,0.0,0.0,1,0.0,258,0.0,482
81,0.0,0.0,1,0.0,243,0.0,452
82,0.0,0.0,1,0.0,295,0.0,556
83,0.0,0.0,1,0.0,243,0.0,451
84,2.0,0.0,1,0.0,258,0.0,483
85,0.0,0.0,1,0.0,234,0.0,434
86,0.0,0.0,1,0.0,243,0.0,451
87,0.0,0.0,1,0.0,266,0.0,498
88,0.0,0.0,1,0.0,274,0.0,515
89,2.0,0.0,5,2.0,292,0.0,558
90,0.0,0.0,1,0.0,262,0.0,489
91,2.0,0.0,1,0.0,261,0.0,488
92,0.0,0.0,1,0.0,279,0.0,524
93,0.0,0.0,1,0.0,271,0.0,507
94,0.0,0.0,8,2.8284271247461903,266,0.0,501
95,2.0,0.0,1,0.0,281,0.0,528
96,0.0,0.0,1,0.0,267,0.0,500
97,0.0,0.0,1,0.0,261,0.0,490
98,2.0,0.0,1,0.0,263,0.0,492
99,0.0,0.0,1,0.0,272,0.0,511
